current_table,target_table,domain_batch,rename,verify,release,recovery
docker_compose_project,docker_compose_project,docker,no_op,baseline_required,no_op,resume_forward
docker_operation,docker_operation,docker,no_op,baseline_required,no_op,resume_forward
docker_operation_event,docker_operation_event,docker,no_op,baseline_required,no_op,resume_forward
docker_operation_event_orphan_audit,docker_operation_event_orphan_audit,docker,no_op,baseline_required,no_op,resume_forward
docker_operation_integrity_guard,docker_operation_integrity_guard,docker,no_op,baseline_required,no_op,resume_forward
docker_remote_registry,docker_remote_registry,docker,no_op,baseline_required,no_op,resume_forward
sysExternalLoginProvider,sys_external_login_provider,external_identity,renamed,passed,complete,resume_forward
sysExternalManagedProviderCommand,sys_external_managed_provider_command,external_identity,renamed,passed,complete,resume_forward
sysExternalOAuthLoginState,sys_external_oauth_login_state,external_identity,renamed,passed,complete,resume_forward
sysExternalOAuthToken,sys_external_oauth_token,external_identity,renamed,passed,complete,resume_forward
sysExternalProviderMethod,sys_external_provider_method,external_identity,renamed,passed,complete,resume_forward
sysExternalUserIdentity,sys_external_user_identity,external_identity,renamed,passed,complete,resume_forward
sysFederatedNode,sys_federated_node,federation,renamed,passed,complete,resume_forward
sysFederatedNodeConnectionCommand,sys_federated_node_connection_command,federation,renamed,passed,complete,resume_forward
sysNotification,sys_notification,notification,renamed,passed,complete,resume_forward
sysNotificationChannel,sys_notification_channel,notification,renamed,passed,complete,resume_forward
sysNotificationDelivery,sys_notification_delivery,notification,renamed,passed,complete,resume_forward
sysNotificationDeliveryAttempt,sys_notification_delivery_attempt,notification,renamed,passed,complete,resume_forward
sysNotificationDeliveryDiagnosticAudit,sys_notification_delivery_diagnostic_audit,notification,renamed,passed,complete,resume_forward
sysNotificationDeliveryEphemeralContent,sys_notification_delivery_ephemeral_content,notification,renamed,passed,complete,resume_forward
sysNotificationExternalTarget,sys_notification_external_target,notification,renamed,passed,complete,resume_forward
sysNotificationHTTPDeliverySnapshot,sys_notification_http_delivery_snapshot,notification,renamed,passed,complete,resume_forward
sysNotificationMailbox,sys_notification_mailbox,notification,renamed,passed,complete,resume_forward
sysNotificationMaterializationTask,sys_notification_materialization_task,notification,renamed,passed,complete,resume_forward
sysNotificationRecipient,sys_notification_recipient,notification,renamed,passed,complete,resume_forward
sysNotificationSceneBinding,sys_notification_scene_binding,notification,renamed,passed,complete,resume_forward
sysNotificationSceneDefinition,sys_notification_scene_definition,notification,renamed,passed,complete,resume_forward
sysNotificationSceneRevision,sys_notification_scene_revision,notification,renamed,passed,complete,resume_forward
sysNotificationSceneRevisionAudit,sys_notification_scene_revision_audit,notification,renamed,passed,complete,resume_forward
sysNotificationSceneSnapshot,sys_notification_scene_snapshot,notification,renamed,passed,complete,resume_forward
sysNotificationTemplate,sys_notification_template,notification,renamed,passed,complete,resume_forward
sysNotificationTemplateDefinition,sys_notification_template_definition,notification,renamed,passed,complete,resume_forward
sysNotificationTemplateRevision,sys_notification_template_revision,notification,renamed,passed,complete,resume_forward
sysNotificationTemplateRevisionAudit,sys_notification_template_revision_audit,notification,renamed,passed,complete,resume_forward
sysPlatform,sys_platform,platform,renamed,passed,complete,resume_forward
sysPlatformDefaultRole,sys_platform_default_role,platform,renamed,passed,complete,resume_forward
sysPlatformLoginMethod,sys_platform_login_method,platform,renamed,passed,complete,resume_forward
sysPlatformSourceRule,sys_platform_source_rule,platform,renamed,passed,complete,resume_forward
sysPlatformSsoClient,sys_platform_sso_client,platform,renamed,passed,complete,resume_forward
sysSsoAuditLog,sys_sso_audit_log,sso,renamed,passed,complete,resume_forward
sysSsoAuthorizationCode,sys_sso_authorization_code,sso,renamed,passed,complete,resume_forward
sysSsoClient,sys_sso_client,sso,renamed,passed,complete,resume_forward
sysSsoClientRedirectUri,sys_sso_client_redirect_uri,sso,renamed,passed,complete,resume_forward
sysSsoClientSecret,sys_sso_client_secret,sso,renamed,passed,complete,resume_forward
sysSsoConsentGrant,sys_sso_consent_grant,sso,renamed,passed,complete,resume_forward
sysSsoIssuerKey,sys_sso_issuer_key,sso,renamed,passed,complete,resume_forward
sysSsoRefreshTokenFamily,sys_sso_refresh_token_family,sso,renamed,passed,complete,resume_forward
sysSsoSession,sys_sso_session,sso,renamed,passed,complete,resume_forward
sys_config,sys_config,configuration,no_op,baseline_required,no_op,resume_forward
sys_config_change_log,sys_config_change_log,configuration,no_op,baseline_required,no_op,resume_forward
sys_config_group,sys_config_group,configuration,no_op,baseline_required,no_op,resume_forward
sys_dept,sys_dept,organization,no_op,baseline_required,no_op,resume_forward
sys_dict_item,sys_dict_item,dictionary,no_op,baseline_required,no_op,resume_forward
sys_dict_type,sys_dict_type,dictionary,no_op,baseline_required,no_op,resume_forward
sys_file_binding_task,sys_file_binding_task,file,no_op,baseline_required,no_op,resume_forward
sys_file_chunk_upload,sys_file_chunk_upload,file,no_op,baseline_required,no_op,resume_forward
sys_file_info,sys_file_info,file,no_op,baseline_required,no_op,resume_forward
sys_file_integrity_audit,sys_file_integrity_audit,file,no_op,baseline_required,no_op,resume_forward
sys_file_process_run,sys_file_process_run,file,no_op,baseline_required,no_op,resume_forward
sys_file_process_task,sys_file_process_task,file,no_op,baseline_required,no_op,resume_forward
sys_file_reference,sys_file_reference,file,no_op,baseline_required,no_op,resume_forward
sys_menu,sys_menu,authorization,no_op,baseline_required,no_op,resume_forward
sys_menu_permission,sys_menu_permission,authorization,no_op,baseline_required,no_op,resume_forward
sys_message_consume_log,sys_message_consume_log,messaging,no_op,baseline_required,no_op,resume_forward
sys_operation_log,sys_operation_log,audit,no_op,baseline_required,no_op,resume_forward
sys_org,sys_org,organization,no_op,baseline_required,no_op,resume_forward
sys_outbox_event,sys_outbox_event,messaging,no_op,baseline_required,no_op,resume_forward
sys_permission,sys_permission,authorization,no_op,baseline_required,no_op,resume_forward
sys_post,sys_post,organization,no_op,baseline_required,no_op,resume_forward
sys_post_role,sys_post_role,authorization,no_op,baseline_required,no_op,resume_forward
sys_role,sys_role,authorization,no_op,baseline_required,no_op,resume_forward
sys_role_config_scope,sys_role_config_scope,configuration,no_op,baseline_required,no_op,resume_forward
sys_role_dept,sys_role_dept,authorization,no_op,baseline_required,no_op,resume_forward
sys_role_grant_request,sys_role_grant_request,authorization,no_op,baseline_required,no_op,resume_forward
sys_role_menu,sys_role_menu,authorization,no_op,baseline_required,no_op,resume_forward
sys_role_permission,sys_role_permission,authorization,no_op,baseline_required,no_op,resume_forward
sys_security_bootstrap,sys_security_bootstrap,security,no_op,baseline_required,no_op,resume_forward
sys_storage_alert_log,sys_storage_alert_log,file,no_op,baseline_required,no_op,resume_forward
sys_storage_strategy,sys_storage_strategy,file,no_op,baseline_required,no_op,resume_forward
sys_upload_task,sys_upload_task,file,no_op,baseline_required,no_op,resume_forward
sys_user,sys_user,user,no_op,baseline_required,no_op,resume_forward
sys_user_credential,sys_user_credential,user,no_op,baseline_required,no_op,resume_forward
sys_user_dept,sys_user_dept,organization,no_op,baseline_required,no_op,resume_forward
sys_user_org,sys_user_org,organization,no_op,baseline_required,no_op,resume_forward
sys_user_permission,sys_user_permission,authorization,no_op,baseline_required,no_op,resume_forward
sys_user_position,sys_user_position,organization,no_op,baseline_required,no_op,resume_forward
sys_user_role,sys_user_role,authorization,no_op,baseline_required,no_op,resume_forward
